service,response_starting,response_confirmed,persona,short
garage_door.toggle,"Beep-Boop, Umschalten von <device_name> wird gestartet, Piepton.","Beep-Boop, <device_name> wurde umgeschaltet, optimale Funktionalität, Piepton.",robot,0
vacuum.start,Starte jetzt die Reinigung mit <device_name>.,Die Reinigung mit <device_name> wurde gestartet.,assistant,0
vacuum.start,Der Reinigungszyklus von <device_name> wird jetzt gestartet.,Der Reinigungszyklus von <device_name> wurde gestartet.,assistant,0
vacuum.start,<device_name> startet jetzt mit der Reinigungsaufgabe.,<device_name> hat die Reinigungsaufgabe abgeschlossen.,assistant,0
vacuum.start,Starte den Reinigungsvorgang mit <device_name>.,Der Reinigungsvorgang mit <device_name> wurde gestartet.,assistant,0
vacuum.stop,Der aktuelle Auftrag von <device_name> wird jetzt abgebrochen.,Der aktuelle Auftrag von <device_name> wurde abgebrochen.,assistant,0
vacuum.stop,Der Vorgang von <device_name> wird gestoppt.,Der Vorgang von <device_name> wurde gestoppt.,assistant,0
vacuum.stop,<device_name> wird jetzt angehalten.,<device_name> wurde angehalten.,assistant,0
vacuum.stop,Die Reinigung von <device_name> wird gemäß Ihrer Anfrage abgebrochen.,Die Reinigung von <device_name> wurde gemäß Ihrer Anfrage abgebrochen.,assistant,0
vacuum.pause,Pausing <device_name> now.,<device_name> has been paused.,assistant,0
vacuum.stop,Stoppe die Aufgabe von <device_name> jetzt.,Die Aufgabe von <device_name> wurde gestoppt.,assistant,0
vacuum.pause,Der Reinigungszyklus von <device_name> wird gerade angehalten.,Der Reinigungszyklus von <device_name> ist jetzt vorübergehend angehalten.,assistant,0
vacuum.pause,Ich setze <device_name> in eine kurze Pause.,Die kurze Pause von <device_name> ist beendet.,assistant,0
vacuum.return_to_base,<device_name> wird jetzt an seine Basis zurückgesendet.,<device_name> ist jetzt an seiner Basis.,assistant,0
vacuum.pause,Pausiere die Aktivität von <device_name>.,Die Aktivität von <device_name> ist pausiert.,assistant,0
vacuum.pause,Der Betrieb von <device_name> wird jetzt vorübergehend angehalten.,Der Betrieb von <device_name> wurde vorübergehend angehalten.,assistant,0
vacuum.return_to_base,<device_name> kehrt jetzt zu seiner Dockingstation zurück.,<device_name> ist jetzt an seiner Dockingstation.,assistant,0
vacuum.return_to_base,<device_name> geht zurück zum Aufladen.,<device_name> ist zurück zum Aufladen.,assistant,0
vacuum.return_to_base,"Weise <device_name> an, zur Basis zurückzukehren.",<device_name> ist zur Basis zurückgekehrt.,assistant,0
todo.add_item,<todo> wird zu Ihrer Todo-Liste hinzugefügt.,<todo> wurde zu Ihrer Todo-Liste hinzugefügt.,assistant,0
todo.add_item,<todo> wird zu Ihren Aufgaben hinzugefügt.,<todo> wurde erfolgreich zu Ihren Aufgaben hinzugefügt.,assistant,0
vacuum.return_to_base,<device_name> macht sich jetzt auf den Weg zurück nach Hause.,<device_name> ist zurück zu Hause.,assistant,0
todo.add_item,Füge <todo> deiner Aufgabenliste hinzu.,Ihre Aufgabenliste enthält jetzt <todo>.,assistant,0
todo.add_item,Füge <todo> zur Liste hinzu.,Ich habe <todo> zur Liste hinzugefügt.,assistant,0
todo.add_item,<todo> wird jetzt zu Ihrer To-Do-Liste hinzugefügt.,<todo> steht jetzt auf Ihrer To-Do-Liste.,assistant,0
todo.add_item,Ich setze <todo> auf Ihre Todo-Liste.,Ich habe <todo> auf Ihre Todo-Liste gesetzt.,assistant,0
todo.add_item,Ich füge <todo> zu Ihren Aufgaben hinzu.,Ich habe <todo> zu Ihren Aufgaben hinzugefügt.,assistant,0
timer.start,Timer <device_name> wird für <duration> jetzt gestartet.,Timer <device_name> wurde für <duration> gestartet.,assistant,0
todo.add_item,Füge <todo> jetzt Ihrer Todo-Liste hinzu.,"Fertig, <todo> steht jetzt auf Ihrer Todo-Liste.",assistant,0
todo.add_item,Füge <todo> zu Ihrer Liste hinzu.,Ich habe <todo> zu Ihrer Liste hinzugefügt.,assistant,0
timer.start,Timer <device_name> wird auf <duration> eingestellt.,Timer <device_name> ist auf <duration> eingestellt.,assistant,0
timer.start,Timer für <duration> wird gestartet.,Timer für <duration> wurde gestartet.,assistant,0
timer.start,Der <device_name>-Timer startet jetzt für <duration>.,Der <device_name>-Timer wurde für <duration> gestartet.,assistant,0
timer.start,Countdown startet für <duration>.,Der Countdown für <duration> wurde gestartet.,assistant,0
timer.start,Timer für <duration> wird gestartet.,Timer für <duration> ist aktiviert.,assistant,0
timer.start,Ihr Timer namens <device_name> für <duration> wird jetzt gestartet.,Ihr Timer namens <device_name> für <duration> ist jetzt gestartet.,assistant,0
timer.start,Der Timer wird jetzt für die Dauer von <duration> gestartet.,Der Timer wurde für die Dauer von <duration> gestartet.,assistant,0
timer.cancel,Timer wird jetzt angehalten.,Der Timer wurde erfolgreich angehalten.,assistant,0
timer.cancel,Ich breche den Timer jetzt ab.,Der Timer wurde abgebrochen.,assistant,0
timer.start,Stelle einen Timer für <duration> ein.,Timer für <duration> ist eingestellt.,assistant,0
timer.cancel,Der Timer wird gerade deaktiviert.,Der Timer wurde deaktiviert.,assistant,0
timer.cancel,Der Timer wird < gelöscht.,Der Timer wurde < gelöscht.,assistant,0
timer.cancel,Der Timer wird < erfolgreich gestoppt.,Der Timer wurde < erfolgreich gestoppt.,assistant,0
timer.cancel,Der Timer wird jetzt < erfolgreich abgebrochen.,Der Timer wurde < erfolgreich abgebrochen.,assistant,0
timer.cancel,Der Timer von <device_name> wird jetzt abgebrochen.,Der Timer von <device_name> wurde abgebrochen.,assistant,0
timer.cancel,Timer-Abbruch für <device_name> wird ausgeführt.,Timer-Abbruch für <device_name> abgeschlossen.,assistant,0
timer.cancel,Timer wird jetzt abgebrochen.,Timer ist jetzt abgebrochen.,assistant,0
timer.cancel,Lösche den Timer auf <device_name>.,Der Timer auf <device_name> wurde gelöscht.,assistant,0
timer.cancel,Original timer für <device_name> wird gerade gestoppt.,Original timer für <device_name> ist jetzt gestoppt.,assistant,0
timer.cancel,Timer auf <device_name> wird gestoppt.,Der Timer auf <device_name> wurde gestoppt.,assistant,0
light.turn_on,Ich hellen <device_name> jetzt auf <brightness>% auf.,Aufhellung von <device_name> auf <brightness>% abgeschlossen.,assistant,0
timer.cancel,Ich breche gerade Ihren laufenden Timer auf <device_name> ab.,Ihr laufender Timer auf <device_name> wurde abgebrochen.,assistant,0
timer.cancel,Der Timer von <device_name> wird gerade deaktiviert.,Der Timer von <device_name> ist jetzt deaktiviert.,assistant,0
garage_door.toggle,Der Status von <device_name> wird jetzt wie gewünscht geändert.,Der Status von <device_name> wurde wie gewünscht geändert.,assistant,0
light.turn_on,Lasse <device_name> in <color> erstrahlen.,<device_name> erstrahlt jetzt in <color>.,assistant,0
light.turn_on,Opening the blinds now.,The blinds are now open.,assistant,0
light.toggle,"<device_name> wird umgeschaltet, Ahoi, wir legen los!","<device_name> ist umgeschaltet, das Abenteuer kann beginnen!",pirate,0
media_player.volume_mute,<device_name> wird jetzt stummgeschaltet.,<device_name> ist jetzt stummgeschaltet.,assistant,0
light.turn_on,"Schalte <device_name> jetzt für dich ein, wie der Nordstern!","Der <device_name> ist nun an, wie der Nordstern!",pirate,0
light.turn_on,"Arr, ich stelle <device_name> auf <color> ein, so majestätisch wie der Sonnenuntergang.","Arr, <device_name> ist jetzt auf <color> eingestellt, so majestätisch wie der Sonnenuntergang.",pirate,0
light.turn_on,Schalte das Gerät jetzt ein.,Das Gerät ist jetzt eingeschaltet.,assistant,0
timer.start,Opening the blinds now.,The blinds are now open.,,
